authors,title,year,volume,issue,start_page,end_page,citations,q75_citations,prop_rank,omit,statistical,individual,population,community,ecosystem,spatial,validation_selection,tools_practices
"Moore, B",The scope of ecology,1920,1,1,3,5,13,20,0.5909090909090909,omit,no,NA,NA,NA,NA,NA,NA,NA
"Huntington, E",The control of pneumonia and influenza by the weather,1920,1,1,6,23,13,20,0.5909090909090909,keep,no,NA,NA,NA,NA,NA,NA,NA
"Douglass, AE",Evidence or climatic effects in the annual rings of trees,1920,1,1,24,32,81,20,0.9545454545454546,keep,no,NA,NA,NA,NA,NA,NA,NA
"Esterly, CO","Possible effect of seasonal and laboratory conditions on the behavior of the copepod acartia tonsa, and the bearing of this on the question of diurnal migration",1920,1,1,33,40,0,20,0.090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wherry, ET",Plant distribution around salt marshes in relation to soil acidity,1920,1,1,42,48,13,20,0.5909090909090909,keep,no,NA,NA,NA,NA,NA,NA,NA
"Hofmann, JV",The establishment of a douglas fir forest,1920,1,1,49,53,5,20,0.2727272727272727,keep,no,NA,NA,NA,NA,NA,NA,NA
"McClung, CE",National research council,1920,1,1,57,58,0,20,0.090909091,omit,no,NA,NA,NA,NA,NA,NA,NA
"Adams, CC; Burns, GP; Hankinson, TL; Moore, B; Taylor, N","Plants and animals of mount marcy, new york, part i",1920,1,2,71,NA,16,20,0.6818181818181818,keep,no,NA,NA,NA,NA,NA,NA,NA
"Powers, EB",Influence of temperature and concentration on the toxicity of salts to fishes,1920,1,2,95,112,20,20,0.7272727272727273,keep,no,NA,NA,NA,NA,NA,NA,NA
"Burkholder, WH",The effect of iwo soil temperatures on the yield and water relations of healthy and diseased bean plants,1920,1,2,113,123,7,20,0.3181818181818182,keep,no,NA,NA,NA,NA,NA,NA,NA
"Forsaith, CC",Anatomical reduction in some alpine plants,1920,1,2,124,135,9,20,0.5,keep,no,NA,NA,NA,NA,NA,NA,NA
"Pearson, GA","Factors controlling the distribution of forest types, part i",1920,1,3,139,NA,24,20,0.7727272727272727,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wherry, ET",Soil acidity and a field method for its measurement.,1920,1,3,160,173,26,20,0.8181818181818182,keep,no,NA,NA,NA,NA,NA,NA,NA
"Bailey, IW",Some relations between ants and fungi,1920,1,3,174,189,50,20,0.9090909090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",An overlook of the relations of dust to humanity,1920,1,3,190,192,0,20,0.090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Metcalf, ZP",Some ecological aspects of the tidal zone of the north carolina coast,1920,1,3,193,197,2,20,0.22727272727272727,keep,no,NA,NA,NA,NA,NA,NA,NA
"Harper, RM","The limestone prairies of wilcox county, alabama",1920,1,3,198,203,8,20,0.4090909090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Adams, CC","Plants and animals of mount marcy, new york, part ii",1920,1,3,204,233,NA,20,1,keep,no,NA,NA,NA,NA,NA,NA,NA
"Moore, B",The relative length of day and night,1920,1,3,234,237,1,20,0.18181818181818182,omit,no,NA,NA,NA,NA,NA,NA,NA
"Barney, RL; Anson, BJ","Life history and ecology of the pigmy sunfish, elassoma zonatum",1920,1,4,241,256,8,20,0.4090909090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Campbell, DH",Some botanical and environmental aspects of hawaii,1920,1,4,257,269,8,20,0.4090909090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Hill, RR",Charting quadrats with a pantograph,1920,1,4,270,273,28,20,0.8636363636363636,keep,no,NA,NA,NA,NA,NA,NA,NA
"MacDougal, DT",The reactions of plants to new habitats,1921,2,1,1,20,5,6,0.7027027027027027,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",The dust of the gobi,1921,2,1,21,25,1,6,0.2702702702702703,keep,no,NA,NA,NA,NA,NA,NA,NA
"Allen, WE",Problems of floral dominance in the open sea,1921,2,1,26,31,2,6,0.3783783783783784,keep,no,NA,NA,NA,NA,NA,NA,NA
"Riley, CFC",Distribution of the large water-strider gerris remigis say throughout a river system,1921,2,1,32,36,3,6,0.4594594594594595,keep,no,NA,NA,NA,NA,NA,NA,NA
